sheep_plasticity;wolf_plasticity;cost_plasticity_sheep;cost_plasticity_wolf;sheep_gain_from_food;wolf_gain_from_food;sheep_reproduce;wolf_reproduce;grass_regrowth_time;mean_Richness;sd_Richness
2;3;0,8;0,9;30;30;10;15;5;7,8;0,492365964
2;3;0,8;0,9;30;40;10;10;5;7,8;0,550481883
2;3;0,8;0,9;40;30;10;15;5;7,8;0,828775414
2;3;0,8;0,9;40;30;15;10;10;7,77;0,583528106
2;3;0,8;0,9;40;40;15;5;10;7,75;0,808727645
2;3;0,8;0,9;40;30;10;10;5;7,74;0,949428323
2;3;0,8;0,9;30;50;10;15;10;7,73;0,600588937
2;3;0,8;0,9;30;40;15;15;10;7,69;0,59789192
2;3;0,8;0,9;40;40;15;15;15;7,67;0,532859638
2;3;0,8;0,9;30;50;25;5;10;7,66;0,49685882
2;3;0,8;0,9;30;50;15;10;10;7,64;0,643852044
2;3;0,8;0,9;40;50;15;10;15;7,64;0,559942277
2;3;0,8;0,9;30;30;10;10;5;7,61;0,649708559
2;3;0,8;0,9;40;40;25;10;15;7,59;0,552222324
2;3;0,8;0,9;20;50;15;10;5;7,57;0,742028342
2;3;0,8;0,9;30;50;25;15;15;7,56;0,656282767
2;3;0,8;0,9;20;40;15;15;5;7,54;0,730573319
2;3;0,8;0,9;20;30;25;10;5;7,46;0,520683312
2;3;0,8;0,9;30;30;10;5;5;7,46;0,687845414
2;3;0,8;0,9;40;40;10;15;15;7,42;0,638495707
2;3;0,8;0,9;30;40;15;10;10;7,41;0,533617349
2;3;0,8;0,9;40;30;15;5;10;7,41;0,66810451
2;3;0,8;0,9;40;30;10;10;10;7,39;0,601261301
2;3;0,8;0,9;20;40;25;5;5;7,37;0,630135467
2;3;0,8;0,9;30;30;25;15;10;7,37;0,505624926
2;3;0,8;0,9;20;40;15;10;5;7,33;0,586979944
2;3;0,8;0,9;40;50;10;10;15;7,3;0,59458839
2;3;0,8;0,9;40;40;15;10;15;7,25;0,479372485
2;3;0,8;0,9;40;50;25;5;15;7,24;0,570663268
2;3;0,8;0,9;30;30;15;15;10;7,23;0,468287229
2;3;0,8;0,9;40;30;25;5;10;7,23;0,446196043
2;3;0,8;0,9;30;50;15;5;10;7,22;0,504124403
2;3;0,8;0,9;40;40;10;5;10;7,19;0,525991128
2;3;0,8;0,9;20;50;15;5;5;7,15;0,5
2;3;0,8;0,9;20;30;15;15;5;7,1;0,414387707
2;3;0,8;0,9;30;40;25;5;10;7,09;0,287623491
2;3;0,8;0,9;40;30;25;15;15;7,09;0,320825954
2;3;0,8;0,9;40;50;15;5;15;7,09;0,552222324
2;3;0,8;0,9;30;30;25;10;10;7,04;0,281410588
2;3;0,8;0,9;20;30;15;10;5;7,03;0,459578199
2;3;0,8;0,9;30;40;10;15;10;7,03;0,702880078
2;3;0,8;0,9;30;50;10;10;10;7,03;0,702880078
2;3;0,8;0,9;20;30;25;5;5;7,02;0,140705294
2;3;0,8;0,9;40;40;25;5;15;7,01;0,26571801
2;3;0,8;0,9;20;30;10;5;10;7;0
2;3;0,8;0,9;20;30;10;5;15;7;0
2;3;0,8;0,9;20;30;10;10;10;7;0
2;3;0,8;0,9;20;30;10;10;15;7;0
2;3;0,8;0,9;20;30;10;15;10;7;0
2;3;0,8;0,9;20;30;10;15;15;7;0
2;3;0,8;0,9;20;30;15;5;15;7;0
2;3;0,8;0,9;20;30;15;10;15;7;0
2;3;0,8;0,9;20;30;15;15;15;7;0
2;3;0,8;0,9;20;30;25;5;10;7;0
2;3;0,8;0,9;20;30;25;5;15;7;0
2;3;0,8;0,9;20;30;25;10;10;7;0
2;3;0,8;0,9;20;30;25;10;15;7;0
2;3;0,8;0,9;20;30;25;15;10;7;0
2;3;0,8;0,9;20;30;25;15;15;7;0
2;3;0,8;0,9;20;40;10;5;15;7;0
2;3;0,8;0,9;20;40;10;15;15;7;0
2;3;0,8;0,9;20;40;15;10;15;7;0
2;3;0,8;0,9;20;40;15;15;15;7;0
2;3;0,8;0,9;20;40;25;5;15;7;0
2;3;0,8;0,9;20;40;25;15;15;7;0
2;3;0,8;0,9;30;30;25;5;10;7;0
2;3;0,8;0,9;30;30;25;10;15;7;0
2;3;0,8;0,9;30;30;25;15;15;7;0
2;3;0,8;0,9;20;30;15;5;10;6,99;0,1
2;3;0,8;0,9;20;30;15;10;10;6,99;0,1
2;3;0,8;0,9;20;30;15;15;10;6,99;0,1
2;3;0,8;0,9;20;40;25;5;10;6,99;0,1
2;3;0,8;0,9;20;50;10;15;5;6,99;0,74528823
2;3;0,8;0,9;30;30;10;10;15;6,99;0,1
2;3;0,8;0,9;30;30;15;15;15;6,99;0,1
2;3;0,8;0,9;30;30;25;5;15;6,99;0,1
2;3;0,8;0,9;30;40;25;5;15;6,99;0,1
2;3;0,8;0,9;40;30;15;15;15;6,99;0,41426581
2;3;0,8;0,9;40;30;25;10;15;6,99;0,26571801
2;3;0,8;0,9;20;40;25;10;15;6,98;0,140705294
2;3;0,8;0,9;30;30;10;5;15;6,98;0,140705294
2;3;0,8;0,9;30;30;10;15;15;6,98;0,140705294
2;3;0,8;0,9;30;30;15;5;15;6,98;0,140705294
2;3;0,8;0,9;30;30;15;10;15;6,98;0,2
2;3;0,8;0,9;40;30;25;5;15;6,98;0,140705294
2;3;0,8;0,9;20;40;10;10;15;6,97;0,171446608
2;3;0,8;0,9;20;40;25;15;10;6,97;0,171446608
2;3;0,8;0,9;20;50;25;15;15;6,97;0,222701503
2;3;0,8;0,9;30;50;25;10;15;6,97;0,576562436
2;3;0,8;0,9;20;40;25;10;10;6,96;0,196946386
2;3;0,8;0,9;20;50;25;5;15;6,96;0,196946386
2;3;0,8;0,9;30;40;25;10;15;6,96;0,196946386
2;3;0,8;0,9;40;30;10;5;10;6,96;0,490722
