ticks;sheep_plasticity;wolf_plasticity;cost_plasticity_sheep;cost_plasticity_wolf;sheep_gain_from_food;wolf_gain_from_food;sheep_reproduce;wolf_reproduce;grass_regrowth_time;model-version;replicate-number;Richness;Shannon;Evenness;AbRelPgre;AbRelPvio;AbRelPgray;AbRelPsky;AbRelSone;AbRelSthree;AbRelSfou;AbRelWone;AbRelWtwo;AbRelWfour;abto-patchesgreen;abto-patchesviolet;abto-patchesgray;ab-to-patchessky;abto-sheepone;abu-to-sheepthree;ab-to-sheepfour;ab-to-wolvesone;abto-wolvestwo;abto-wolvesfour;abundance-total
500;0;0;0;0;20;40;25;5;10;HighPerturbationHighfractality;10;10;2,140542562;0,929625823;0,123263989;0,151731689;0,111594537;0,145940183;0,167550279;0,094162393;0,087045468;0,004927102;0,086209877;0,027574483;4278;5266;3873;5065;5815;3268;3021;171;2992;957;34706
999;0;0;0;0;20;40;25;5;10;HighPerturbationHighfractality;10;7;1,788778809;0,919250465;0,201535509;0,1195925;0,152517348;0,19193858;0,022589694;0,064816182;0,247010188;0;0;0;1365;810;1033;1300;153;439;1673;0;0;0;6773
500;0;0;0;0;20;40;25;5;10;HighPerturbationHighfractality;11;10;2,133649829;0,926632347;0,172864622;0,09881825;0,132685116;0,125564697;0,126731488;0,122692595;0,087120419;0,007150337;0,112161556;0,01421092;5778;3303;4435;4197;4236;4101;2912;239;3749;475;33425
999;0;0;0;0;20;40;25;5;10;HighPerturbationHighfractality;11;8;1,860817223;0,894863927;0,191257624;0,119227418;0,147836189;0,184286959;0,024687772;0,047487656;0,2519605;0;0,033255881;0;1317;821;1018;1269;170;327;1735;0;229;0;6886
500;0;0;0;0;20;40;25;5;10;HighPerturbationHighfractality;12;10;2,125379204;0,92304046;0,157803468;0,116907514;0,11132948;0,122080925;0,178583815;0,109884393;0,081416185;0,003641618;0,097947977;0,020404624;5460;4045;3852;4224;6179;3802;2817;126;3389;706;34600
999;0;0;0;0;20;40;25;5;10;HighPerturbationHighfractality;12;8;1,938542892;0,932242072;0,145044429;0,126042379;0,116883117;0,2;0,123308271;0,065208476;0,209022556;0;0,014490772;0;1061;922;855;1463;902;477;1529;0;106;0;7315
500;0;0;0;0;20;40;25;5;10;HighPerturbationHighfractality;13;10;2,142105207;0,930304471;0,128428781;0,159148311;0,125785609;0,113333333;0,156945668;0,107488987;0,090249633;0,003377386;0,088193833;0,027048458;4373;5419;4283;3859;5344;3660;3073;115;3003;921;34050
999;0;0;0;0;20;40;25;5;10;HighPerturbationHighfractality;13;9;1,85883306;0,845991383;0,194538247;0,204815739;0,072236089;0,12142123;0,027015123;0,033622082;0,278079577;0,005432389;0,062839524;0;1325;1395;492;827;184;229;1894;37;428;0;6811
500;0;0;0;0;20;40;25;5;10;HighPerturbationHighfractality;14;10;2,145640938;0,931840019;0,136192889;0,132290848;0,135930812;0,119536414;0,16330334;0,095279695;0,093648991;0,006581055;0,096124166;0,021111791;4677;4543;4668;4105;5608;3272;3216;226;3301;725;34341
999;0;0;0;0;20;40;25;5;10;HighPerturbationHighfractality;14;8;1,85260118;0,890912845;0,197250448;0,128212791;0,162881052;0,095935445;0,081440526;0,043185894;0,279288703;0;0,01180514;0;1320;858;1090;642;545;289;1869;0;79;0;6692
500;0;0;0;0;20;40;25;5;10;HighPerturbationHighfractality;15;10;2,127779374;0,924082841;0,173504568;0,101936448;0,128339941;0,116273056;0,177670517;0,097138424;0,083893582;0,005343906;0,092484054;0,023415503;6039;3548;4467;4047;6184;3381;2920;186;3219;815;34806
999;0;0;0;0;20;40;25;5;10;HighPerturbationHighfractality;15;10;2,002007888;0,869460978;0,141252875;0,149776756;0,086456501;0,189825463;0,103504262;0,062373157;0,206873224;0,001758896;0,057502368;0,000676498;1044;1107;639;1403;765;461;1529;13;425;5;7391
500;0;0;0;0;20;40;25;5;10;HighPerturbationHighfractality;16;10;2,130035697;0,92506275;0,165185466;0,108627874;0,13619278;0,110609283;0,158017425;0,114455549;0,078673621;0,007663393;0,106063696;0,014510912;5669;3728;4674;3796;5423;3928;2700;263;3640;498;34319
999;0;0;0;0;20;40;25;5;10;HighPerturbationHighfractality;16;8;1,914679906;0,920766402;0,193474854;0,173813934;0,14332526;0,103433538;0,075509332;0,075366861;0,222396353;0;0,012679869;0;1358;1220;1006;726;530;529;1561;0;89;0;7019
500;0;0;0;0;20;40;25;5;10;HighPerturbationHighfractality;17;10;2,133916816;0,926748298;0,181595923;0,111932605;0,130401485;0,111343486;0,135762467;0,100444785;0,093876108;0,008365489;0,112462812;0,01381484;6165;3800;4427;3780;4609;3410;3187;284;3818;469;33949
999;0;0;0;0;20;40;25;5;10;HighPerturbationHighfractality;17;8;1,845557426;0,887525516;0,216594517;0,17950938;0,108946609;0,100721501;0,072005772;0,054978355;0,26046176;0;0,006782107;0;1501;1244;755;698;499;381;1805;0;47;0;6930
500;0;0;0;0;20;40;25;5;10;HighPerturbationHighfractality;18;10;2,119504601;0,920489153;0,183902295;0,143702178;0,121188935;0,083460859;0,137492643;0,122101236;0,077810477;0,005002943;0,107533843;0,017804591;6249;4883;4118;2836;4672;4149;2644;170;3654;605;33980
999;0;0;0;0;20;40;25;5;10;HighPerturbationHighfractality;18;7;1,680087925;0,863394399;0,206280048;0,183143029;0,156550481;0,129957933;0,000901442;0,037860577;0,28530649;0;0;0;1373;1219;1042;865;6;252;1899;0;0;0;6656
500;0;0;0;0;20;40;25;5;10;HighPerturbationHighfractality;19;10;2,158554647;0,937448372;0,132768446;0,149506221;0,127815735;0,12533938;0,132559597;0,11107796;0,094220843;0,006533998;0,095444103;0,024733717;4450;5011;4284;4201;4443;3723;3158;219;3199;829;33517
999;0;0;0;0;20;40;25;5;10;HighPerturbationHighfractality;19;8;1,911336868;0,91915874;0,233557439;0,083601286;0,167202572;0,115024847;0,045308389;0,080970476;0,232095878;0;0,042239111;0;1598;572;1144;787;310;554;1588;0;289;0;6842
