ticks;sheep_plasticity;wolf_plasticity;cost_plasticity_sheep;cost_plasticity_wolf;sheep_gain_from_food;wolf_gain_from_food;sheep_reproduce;wolf_reproduce;grass_regrowth_time;model-version;replicate-number;Richness;Shannon;Evenness;AbRelPgre;AbRelPvio;AbRelPgray;AbRelPsky;AbRelSone;AbRelSthree;AbRelSfou;AbRelWone;AbRelWtwo;AbRelWfour;abto-patchesgreen;abto-patchesviolet;abto-patchesgray;ab-to-patchessky;abto-sheepone;abu-to-sheepthree;ab-to-sheepfour;ab-to-wolvesone;abto-wolvestwo;abto-wolvesfour;abundance-total
999;8;9;0,8;0,9;30;60;25;10;5;LowPerturbationHighfractality;48;8;1,986996994;0,95554357;0,181267218;0,208264463;0,045179063;0,073829201;0,137190083;0,085399449;0,157024793;0;0,11184573;0;329;378;82;134;249;155;285;0;203;0;1815
500;8;9;0,8;0,9;30;60;25;10;5;LowPerturbationHighfractality;49;10;2,167654014;0,941400177;0,083031182;0,150108774;0,161348803;0,083031182;0,144670051;0,100435098;0,112762872;0,033720087;0,119651922;0,011240029;229;414;445;229;399;277;311;93;330;31;2758
999;8;9;0,8;0,9;30;60;25;10;5;LowPerturbationHighfractality;49;9;1,991232086;0,906248777;0,232936078;0,121885157;0,108342362;0,03304442;0,167388949;0,097508126;0,136511376;0,002166847;0,100216685;0;430;225;200;61;309;180;252;4;185;0;1846
500;8;9;0,8;0,9;30;60;25;10;5;LowPerturbationHighfractality;50;10;2,089188058;0,907322845;0,060832025;0,099293564;0,106357928;0,18288854;0,027080063;0,214678179;0,130298273;0,067896389;0,105572998;0,005102041;155;253;271;466;69;547;332;173;269;13;2548
999;8;9;0,8;0,9;30;60;25;10;5;LowPerturbationHighfractality;50;8;1,918406952;0,922558732;0,132465996;0,023654642;0,082791248;0,259609698;0,096392667;0,080425784;0,207569486;0;0,117090479;0;224;40;140;439;163;136;351;0;198;0;1691
500;8;9;0,8;0,9;30;60;25;10;5;LowPerturbationHighfractality;51;10;2,104736208;0,914075321;0,218864165;0,050481568;0,060112919;0,154765859;0,134506808;0,077382929;0,079707738;0,118897376;0,104616407;0,000664231;659;152;181;466;405;233;240;358;315;2;3011
999;8;9;0,8;0,9;30;60;25;10;5;LowPerturbationHighfractality;51;9;2,018759068;0,918776846;0,143011918;0,023293608;0,079631636;0,243770314;0,122426869;0,076923077;0,159263272;0,029252438;0,122426869;0;264;43;147;450;226;142;294;54;226;0;1846
500;8;9;0,8;0,9;30;60;25;10;5;LowPerturbationHighfractality;52;10;2,108025879;0,915504007;0,205967977;0,038937409;0,187045124;0,080422125;0,094250364;0,088064047;0,106622999;0,038937409;0,146652111;0,013100437;566;107;514;221;259;242;293;107;403;36;2748
999;8;9;0,8;0,9;30;60;25;10;5;LowPerturbationHighfractality;52;7;1,825852825;0,93830274;0,169833045;0;0,289579735;0,058146229;0,079447323;0,170408751;0,134139321;0;0,098445596;0;295;0;503;101;138;296;233;0;171;0;1737
500;8;9;0,8;0,9;30;60;25;10;5;LowPerturbationHighfractality;53;9;1,967905752;0,895632505;0,162262747;0,174544101;0,09378489;0,111648679;0,002977298;0,092668403;0,110904354;0,021213249;0,229996278;0;436;469;252;300;8;249;298;57;618;0;2687
999;8;9;0,8;0,9;30;60;25;10;5;LowPerturbationHighfractality;53;8;2,054317423;0,987917853;0,130628127;0,120066704;0,082823791;0,148971651;0,158421345;0,08782657;0,157309616;0;0,113952196;0;235;216;149;268;285;158;283;0;205;0;1799
500;8;9;0,8;0,9;30;60;25;10;5;LowPerturbationHighfractality;54;10;2,120196167;0,920789496;0,139697752;0,095466273;0,228529303;0,045337265;0,110947291;0,070770365;0,133431626;0,0169554;0,125322521;0,033542204;379;259;620;123;301;192;362;46;340;91;2713
999;8;9;0,8;0,9;30;60;25;10;5;LowPerturbationHighfractality;54;9;2,012234913;0,915807575;0,221929362;0,058513442;0,186083289;0,031628888;0,166051661;0,093305219;0,122825514;0,023194518;0,096468108;0;421;111;353;60;315;177;233;44;183;0;1897
500;8;9;0,8;0,9;30;60;25;10;5;LowPerturbationHighfractality;55;10;2,168314268;0,941686922;0,088184637;0,070272132;0,150189459;0,177747158;0,160523596;0,052704099;0,120564933;0,058215639;0,104030313;0,017568033;256;204;436;516;466;153;350;169;302;51;2903
999;8;9;0,8;0,9;30;60;25;10;5;LowPerturbationHighfractality;55;9;1,981818468;0,901964455;0,146981627;0,047244094;0,050393701;0,233070866;0,192650919;0,078740157;0,130183727;0,007349081;0,113385827;0;280;90;96;444;367;150;248;14;216;0;1905
500;8;9;0,8;0,9;30;60;25;10;5;LowPerturbationHighfractality;56;10;2,13170413;0,925787341;0,117626028;0,113693243;0,096174473;0,186986056;0,074722917;0,130139435;0,078298177;0,040042903;0,160171612;0,002145156;329;318;269;523;209;364;219;112;448;6;2797
999;8;9;0,8;0,9;30;60;25;10;5;LowPerturbationHighfractality;56;9;2,081283455;0,947232921;0,122580645;0,097360704;0,099120235;0,160117302;0,086803519;0,167741935;0,171847507;0,012903226;0,081524927;0;209;166;169;273;148;286;293;22;139;0;1705
500;8;9;0,8;0,9;30;60;25;10;5;LowPerturbationHighfractality;57;10;2,206977828;0,958478293;0,1575179;0,117967951;0,141152404;0,080804637;0,114217525;0,118308899;0,069553358;0,062734402;0,120695534;0,017047392;462;346;414;237;335;347;204;184;354;50;2933
999;8;9;0,8;0,9;30;60;25;10;5;LowPerturbationHighfractality;57;6;1,502550393;0,838589341;0,359688918;0,087491899;0,046662346;0,0382372;0;0;0,311082307;0;0,15683733;0;555;135;72;59;0;0;480;0;242;0;1543
500;8;9;0,8;0,9;30;60;25;10;5;LowPerturbationHighfractality;58;10;2,127046131;0,923764397;0,075651855;0,107234668;0,143224385;0,134410577;0,10760191;0,138082997;0,125229526;0,022401763;0,145427837;0,000734484;206;292;390;366;293;376;341;61;396;2;2723
