"ticks";"sheep_plasticity";"wolf_plasticity";"cost_plasticity_sheep";"cost_plasticity_wolf";"sheep_gain_from_food";"wolf_gain_from_food";"sheep_reproduce";"wolf_reproduce";"grass_regrowth_time";"mean_Richness";"sd_Richness";"mean_Shannon";"mean_Evenness";"mean_AbRelPgre";"mean_AbRelPvio";"mean_AbRelPgray";"mean_AbRelPsky";"mean_AbRelSone";"mean_AbRelSthree";"mean_AbRelSfou";"mean_AbRelWone";"mean_AbRelWtwo";"mean_AbRelWfour";"reps"
500;5;6;0,8;0,9;30;50;25;10;5;10;0;2,15304343345841;0,935054882449017;0,113592219662193;0,119499835324153;0,120748126132621;0,121285292344278;0,140384861093655;0,0930634725936317;0,138201500913938;0,0342110375572882;0,107748168209747;0,0112654861684951;4000
999;5;6;0,8;0,9;30;50;25;10;5;7,43625;1,77868683843362;1,80338998550736;0,913259859595501;0,194253043644461;0,137035671866413;0,13587491877564;0,138337891816339;0,0748075715309192;0,0615210807436918;0,226783212559383;0,0108955259453657;0,0203999105572728;9,11725605142062e-05;4000
