sheep_plasticity;wolf_plasticity;cost_plasticity_sheep;cost_plasticity_wolf;sheep_gain_from_food;wolf_gain_from_food;sheep_reproduce;wolf_reproduce;grass_regrowth_time;mean_Richness;sd_Richness
2;3;0,2;0,3;30;40;15;15;15;9,54;0,500908266
2;3;0,2;0,3;30;40;25;5;5;9,53;0,521361853
2;3;0,2;0,3;40;50;10;15;10;9,52;0,611010093
2;3;0,2;0,3;40;30;10;15;10;9,51;0,674124947
2;3;0,2;0,3;40;40;10;15;10;9,47;0,717106982
2;3;0,2;0,3;20;50;10;15;5;9,46;0,730573319
2;3;0,2;0,3;20;50;25;15;5;9,45;0,538891492
2;3;0,2;0,3;30;50;25;15;10;9,44;0,518739732
2;3;0,2;0,3;40;50;25;15;10;9,44;0,498887652
2;3;0,2;0,3;40;30;10;10;15;9,43;0,51747249
2;3;0,2;0,3;30;30;10;15;10;9,42;0,496044964
2;3;0,2;0,3;30;40;25;15;15;9,41;0,604611905
2;3;0,2;0,3;20;50;10;5;5;9,39;0,90893433
2;3;0,2;0,3;30;50;10;10;15;9,38;0,487831731
2;3;0,2;0,3;30;30;10;10;10;9,37;0,485236587
2;3;0,2;0,3;40;30;15;5;15;9,35;0,479372485
2;3;0,2;0,3;40;30;25;5;10;9,35;0,479372485
2;3;0,2;0,3;30;30;25;5;5;9,34;0,476095229
2;3;0,2;0,3;30;40;15;10;15;9,34;0,49685882
2;3;0,2;0,3;40;40;25;10;15;9,34;0,476095229
2;3;0,2;0,3;40;50;25;10;10;9,33;0,472581563
2;3;0,2;0,3;20;50;15;15;10;9,32;0,468826172
2;3;0,2;0,3;20;40;25;15;5;9,26;0,504925237
2;3;0,2;0,3;40;40;25;15;5;9,26;1,151371602
2;3;0,2;0,3;20;40;10;5;5;9,25;0,880484256
2;3;0,2;0,3;40;30;25;10;15;9,25;0,43519414
2;3;0,2;0,3;30;40;25;15;5;9,23;0,708605117
2;3;0,2;0,3;20;40;25;15;10;9,22;0,4163332
2;3;0,2;0,3;20;40;10;15;5;9,21;0,607944043
2;3;0,2;0,3;20;50;15;10;10;9,2;0,426401433
2;3;0,2;0,3;30;30;25;15;10;9,18;0,38612292
2;3;0,2;0,3;20;40;10;10;5;9,17;0,725509226
2;3;0,2;0,3;30;50;15;10;5;9,17;1,015585615
2;3;0,2;0,3;40;30;25;5;15;9,15;0,479372485
2;3;0,2;0,3;40;50;25;15;15;9,15;0,358870281
2;3;0,2;0,3;30;40;25;15;10;9,14;0,348735088
2;3;0,2;0,3;30;50;15;5;15;9,14;0,376587549
2;3;0,2;0,3;30;50;15;15;5;9,12;0,782123502
2;3;0,2;0,3;20;30;10;5;5;9,1;0,438085827
2;3;0,2;0,3;20;50;25;5;10;9,1;0,301511345
2;3;0,2;0,3;30;40;15;5;5;9,1;1,114640858
2;3;0,2;0,3;30;40;10;15;15;9,09;0,37859389
2;3;0,2;0,3;40;40;25;10;10;9,08;0,272659924
2;3;0,2;0,3;20;40;25;10;10;9,07;0,355476633
2;3;0,2;0,3;40;30;25;10;10;9,05;0,219042914
2;3;0,2;0,3;40;30;25;15;15;9,05;0,219042914
2;3;0,2;0,3;40;40;25;15;15;9,03;0,171446608
2;3;0,2;0,3;30;30;10;5;10;9,01;0,41426581
2;3;0,2;0,3;40;30;25;15;10;9;0
2;3;0,2;0,3;40;40;25;15;10;9;0
2;3;0,2;0,3;30;30;25;10;5;8,99;0,1
2;3;0,2;0,3;40;30;10;5;15;8,94;0,342893216
2;3;0,2;0,3;30;30;15;15;5;8,93;1,037236032
2;3;0,2;0,3;30;40;10;10;5;8,93;0,890522489
2;3;0,2;0,3;20;50;15;5;10;8,92;0,272659924
2;3;0,2;0,3;30;50;10;5;15;8,92;0,338743966
2;3;0,2;0,3;40;50;25;15;5;8,9;1,159066151
2;3;0,2;0,3;20;30;10;10;5;8,86;0,635959468
2;3;0,2;0,3;40;30;25;5;5;8,84;0,545319849
2;3;0,2;0,3;30;40;15;10;5;8,83;1,137558967
2;3;0,2;0,3;30;40;15;5;15;8,82;0,41145222
2;3;0,2;0,3;20;40;15;15;10;8,78;0,4163332
